,REF_DATE,GEO,New housing price indexes,UOM,HPI_vancouver_bc
266,2003-03,"Vancouver, British Columbia",House only,"Index, 201612=100",74.5
267,2003-04,"Vancouver, British Columbia",House only,"Index, 201612=100",74.8
268,2003-05,"Vancouver, British Columbia",House only,"Index, 201612=100",75.4
269,2003-06,"Vancouver, British Columbia",House only,"Index, 201612=100",75.4
270,2003-07,"Vancouver, British Columbia",House only,"Index, 201612=100",75.5
271,2003-08,"Vancouver, British Columbia",House only,"Index, 201612=100",75.4
272,2003-09,"Vancouver, British Columbia",House only,"Index, 201612=100",75.5
273,2003-10,"Vancouver, British Columbia",House only,"Index, 201612=100",76.0
274,2003-11,"Vancouver, British Columbia",House only,"Index, 201612=100",76.5
275,2003-12,"Vancouver, British Columbia",House only,"Index, 201612=100",76.6
276,2004-01,"Vancouver, British Columbia",House only,"Index, 201612=100",77.9
277,2004-02,"Vancouver, British Columbia",House only,"Index, 201612=100",78.1
278,2004-03,"Vancouver, British Columbia",House only,"Index, 201612=100",78.7
279,2004-04,"Vancouver, British Columbia",House only,"Index, 201612=100",79.2
280,2004-05,"Vancouver, British Columbia",House only,"Index, 201612=100",79.9
281,2004-06,"Vancouver, British Columbia",House only,"Index, 201612=100",80.1
282,2004-07,"Vancouver, British Columbia",House only,"Index, 201612=100",80.2
283,2004-08,"Vancouver, British Columbia",House only,"Index, 201612=100",80.8
284,2004-09,"Vancouver, British Columbia",House only,"Index, 201612=100",81.0
285,2004-10,"Vancouver, British Columbia",House only,"Index, 201612=100",81.1
286,2004-11,"Vancouver, British Columbia",House only,"Index, 201612=100",81.7
287,2004-12,"Vancouver, British Columbia",House only,"Index, 201612=100",81.8
288,2005-01,"Vancouver, British Columbia",House only,"Index, 201612=100",81.7
289,2005-02,"Vancouver, British Columbia",House only,"Index, 201612=100",81.8
290,2005-03,"Vancouver, British Columbia",House only,"Index, 201612=100",81.8
291,2005-04,"Vancouver, British Columbia",House only,"Index, 201612=100",82.2
292,2005-05,"Vancouver, British Columbia",House only,"Index, 201612=100",82.9
293,2005-06,"Vancouver, British Columbia",House only,"Index, 201612=100",82.9
294,2005-07,"Vancouver, British Columbia",House only,"Index, 201612=100",83.2
295,2005-08,"Vancouver, British Columbia",House only,"Index, 201612=100",83.1
296,2005-09,"Vancouver, British Columbia",House only,"Index, 201612=100",83.5
297,2005-10,"Vancouver, British Columbia",House only,"Index, 201612=100",83.5
298,2005-11,"Vancouver, British Columbia",House only,"Index, 201612=100",83.6
299,2005-12,"Vancouver, British Columbia",House only,"Index, 201612=100",84.0
300,2006-01,"Vancouver, British Columbia",House only,"Index, 201612=100",85.6
301,2006-02,"Vancouver, British Columbia",House only,"Index, 201612=100",86.9
302,2006-03,"Vancouver, British Columbia",House only,"Index, 201612=100",87.3
303,2006-04,"Vancouver, British Columbia",House only,"Index, 201612=100",88.4
304,2006-05,"Vancouver, British Columbia",House only,"Index, 201612=100",88.8
305,2006-06,"Vancouver, British Columbia",House only,"Index, 201612=100",89.0
306,2006-07,"Vancouver, British Columbia",House only,"Index, 201612=100",89.8
307,2006-08,"Vancouver, British Columbia",House only,"Index, 201612=100",92.9
308,2006-09,"Vancouver, British Columbia",House only,"Index, 201612=100",93.8
309,2006-10,"Vancouver, British Columbia",House only,"Index, 201612=100",94.4
310,2006-11,"Vancouver, British Columbia",House only,"Index, 201612=100",94.5
311,2006-12,"Vancouver, British Columbia",House only,"Index, 201612=100",94.5
312,2007-01,"Vancouver, British Columbia",House only,"Index, 201612=100",94.5
313,2007-02,"Vancouver, British Columbia",House only,"Index, 201612=100",94.5
314,2007-03,"Vancouver, British Columbia",House only,"Index, 201612=100",95.8
315,2007-04,"Vancouver, British Columbia",House only,"Index, 201612=100",97.2
316,2007-05,"Vancouver, British Columbia",House only,"Index, 201612=100",99.1
317,2007-06,"Vancouver, British Columbia",House only,"Index, 201612=100",100.2
318,2007-07,"Vancouver, British Columbia",House only,"Index, 201612=100",100.4
319,2007-08,"Vancouver, British Columbia",House only,"Index, 201612=100",100.4
320,2007-09,"Vancouver, British Columbia",House only,"Index, 201612=100",100.4
321,2007-10,"Vancouver, British Columbia",House only,"Index, 201612=100",100.7
322,2007-11,"Vancouver, British Columbia",House only,"Index, 201612=100",101.0
323,2007-12,"Vancouver, British Columbia",House only,"Index, 201612=100",100.9
324,2008-01,"Vancouver, British Columbia",House only,"Index, 201612=100",101.1
325,2008-02,"Vancouver, British Columbia",House only,"Index, 201612=100",101.0
326,2008-03,"Vancouver, British Columbia",House only,"Index, 201612=100",101.9
327,2008-04,"Vancouver, British Columbia",House only,"Index, 201612=100",101.9
328,2008-05,"Vancouver, British Columbia",House only,"Index, 201612=100",101.5
329,2008-06,"Vancouver, British Columbia",House only,"Index, 201612=100",101.4
330,2008-07,"Vancouver, British Columbia",House only,"Index, 201612=100",101.4
331,2008-08,"Vancouver, British Columbia",House only,"Index, 201612=100",101.3
332,2008-09,"Vancouver, British Columbia",House only,"Index, 201612=100",101.1
333,2008-10,"Vancouver, British Columbia",House only,"Index, 201612=100",99.1
334,2008-11,"Vancouver, British Columbia",House only,"Index, 201612=100",96.5
335,2008-12,"Vancouver, British Columbia",House only,"Index, 201612=100",96.5
336,2009-01,"Vancouver, British Columbia",House only,"Index, 201612=100",95.0
337,2009-02,"Vancouver, British Columbia",House only,"Index, 201612=100",90.4
338,2009-03,"Vancouver, British Columbia",House only,"Index, 201612=100",88.3
339,2009-04,"Vancouver, British Columbia",House only,"Index, 201612=100",86.2
340,2009-05,"Vancouver, British Columbia",House only,"Index, 201612=100",86.8
341,2009-06,"Vancouver, British Columbia",House only,"Index, 201612=100",85.7
342,2009-07,"Vancouver, British Columbia",House only,"Index, 201612=100",87.7
343,2009-08,"Vancouver, British Columbia",House only,"Index, 201612=100",87.9
344,2009-09,"Vancouver, British Columbia",House only,"Index, 201612=100",90.1
345,2009-10,"Vancouver, British Columbia",House only,"Index, 201612=100",91.2
346,2009-11,"Vancouver, British Columbia",House only,"Index, 201612=100",91.7
347,2009-12,"Vancouver, British Columbia",House only,"Index, 201612=100",92.8
348,2010-01,"Vancouver, British Columbia",House only,"Index, 201612=100",93.5
349,2010-02,"Vancouver, British Columbia",House only,"Index, 201612=100",94.4
350,2010-03,"Vancouver, British Columbia",House only,"Index, 201612=100",95.3
351,2010-04,"Vancouver, British Columbia",House only,"Index, 201612=100",95.9
352,2010-05,"Vancouver, British Columbia",House only,"Index, 201612=100",96.2
353,2010-06,"Vancouver, British Columbia",House only,"Index, 201612=100",96.0
354,2010-07,"Vancouver, British Columbia",House only,"Index, 201612=100",95.7
355,2010-08,"Vancouver, British Columbia",House only,"Index, 201612=100",95.7
356,2010-09,"Vancouver, British Columbia",House only,"Index, 201612=100",95.0
