,REF_DATE,GEO,New housing price indexes,UOM,HPI_charlottetown_pei
257,2002-06,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",88.6
258,2002-07,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",88.6
259,2002-08,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",89.1
260,2002-09,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",89.1
261,2002-10,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",89.1
262,2002-11,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",89.1
263,2002-12,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",89.1
264,2003-01,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",89.1
265,2003-02,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",89.1
266,2003-03,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",89.1
267,2003-04,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",89.1
268,2003-05,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",89.1
269,2003-06,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",89.1
270,2003-07,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",89.1
271,2003-08,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",89.1
272,2003-09,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",89.6
273,2003-10,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",90.0
274,2003-11,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",90.7
275,2003-12,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",91.0
276,2004-01,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",91.4
277,2004-02,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",92.2
278,2004-03,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",92.5
279,2004-04,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",92.5
280,2004-05,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",92.9
281,2004-06,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",92.9
282,2004-07,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",92.9
283,2004-08,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",93.5
284,2004-09,"Charlottetown, Prince Edward Island",House only,"Index, 201612=100",93.5
