,REF_DATE,GEO,New housing price indexes,UOM,HPI_guelph_ont
361,2011-02,"Guelph, Ontario",House only,"Index, 201612=100",
362,2011-03,"Guelph, Ontario",House only,"Index, 201612=100",
363,2011-04,"Guelph, Ontario",House only,"Index, 201612=100",
364,2011-05,"Guelph, Ontario",House only,"Index, 201612=100",
365,2011-06,"Guelph, Ontario",House only,"Index, 201612=100",
366,2011-07,"Guelph, Ontario",House only,"Index, 201612=100",
367,2011-08,"Guelph, Ontario",House only,"Index, 201612=100",
368,2011-09,"Guelph, Ontario",House only,"Index, 201612=100",
369,2011-10,"Guelph, Ontario",House only,"Index, 201612=100",
370,2011-11,"Guelph, Ontario",House only,"Index, 201612=100",
371,2011-12,"Guelph, Ontario",House only,"Index, 201612=100",
372,2012-01,"Guelph, Ontario",House only,"Index, 201612=100",
373,2012-02,"Guelph, Ontario",House only,"Index, 201612=100",
374,2012-03,"Guelph, Ontario",House only,"Index, 201612=100",
375,2012-04,"Guelph, Ontario",House only,"Index, 201612=100",
376,2012-05,"Guelph, Ontario",House only,"Index, 201612=100",
377,2012-06,"Guelph, Ontario",House only,"Index, 201612=100",
378,2012-07,"Guelph, Ontario",House only,"Index, 201612=100",
379,2012-08,"Guelph, Ontario",House only,"Index, 201612=100",
380,2012-09,"Guelph, Ontario",House only,"Index, 201612=100",
381,2012-10,"Guelph, Ontario",House only,"Index, 201612=100",
382,2012-11,"Guelph, Ontario",House only,"Index, 201612=100",
383,2012-12,"Guelph, Ontario",House only,"Index, 201612=100",
384,2013-01,"Guelph, Ontario",House only,"Index, 201612=100",
385,2013-02,"Guelph, Ontario",House only,"Index, 201612=100",
386,2013-03,"Guelph, Ontario",House only,"Index, 201612=100",
387,2013-04,"Guelph, Ontario",House only,"Index, 201612=100",
388,2013-05,"Guelph, Ontario",House only,"Index, 201612=100",
389,2013-06,"Guelph, Ontario",House only,"Index, 201612=100",
390,2013-07,"Guelph, Ontario",House only,"Index, 201612=100",
391,2013-08,"Guelph, Ontario",House only,"Index, 201612=100",
392,2013-09,"Guelph, Ontario",House only,"Index, 201612=100",
393,2013-10,"Guelph, Ontario",House only,"Index, 201612=100",
394,2013-11,"Guelph, Ontario",House only,"Index, 201612=100",
395,2013-12,"Guelph, Ontario",House only,"Index, 201612=100",
396,2014-01,"Guelph, Ontario",House only,"Index, 201612=100",
397,2014-02,"Guelph, Ontario",House only,"Index, 201612=100",
398,2014-03,"Guelph, Ontario",House only,"Index, 201612=100",
399,2014-04,"Guelph, Ontario",House only,"Index, 201612=100",
400,2014-05,"Guelph, Ontario",House only,"Index, 201612=100",
401,2014-06,"Guelph, Ontario",House only,"Index, 201612=100",
402,2014-07,"Guelph, Ontario",House only,"Index, 201612=100",
403,2014-08,"Guelph, Ontario",House only,"Index, 201612=100",
404,2014-09,"Guelph, Ontario",House only,"Index, 201612=100",
