,REF_DATE,GEO,New housing price indexes,UOM,HPI_kelowna_bc
333,2008-10,"Kelowna, British Columbia",House only,"Index, 201612=100",
334,2008-11,"Kelowna, British Columbia",House only,"Index, 201612=100",
335,2008-12,"Kelowna, British Columbia",House only,"Index, 201612=100",
336,2009-01,"Kelowna, British Columbia",House only,"Index, 201612=100",
337,2009-02,"Kelowna, British Columbia",House only,"Index, 201612=100",
338,2009-03,"Kelowna, British Columbia",House only,"Index, 201612=100",
339,2009-04,"Kelowna, British Columbia",House only,"Index, 201612=100",
340,2009-05,"Kelowna, British Columbia",House only,"Index, 201612=100",
341,2009-06,"Kelowna, British Columbia",House only,"Index, 201612=100",
342,2009-07,"Kelowna, British Columbia",House only,"Index, 201612=100",
343,2009-08,"Kelowna, British Columbia",House only,"Index, 201612=100",
344,2009-09,"Kelowna, British Columbia",House only,"Index, 201612=100",
345,2009-10,"Kelowna, British Columbia",House only,"Index, 201612=100",
346,2009-11,"Kelowna, British Columbia",House only,"Index, 201612=100",
347,2009-12,"Kelowna, British Columbia",House only,"Index, 201612=100",
348,2010-01,"Kelowna, British Columbia",House only,"Index, 201612=100",
349,2010-02,"Kelowna, British Columbia",House only,"Index, 201612=100",
350,2010-03,"Kelowna, British Columbia",House only,"Index, 201612=100",
351,2010-04,"Kelowna, British Columbia",House only,"Index, 201612=100",
352,2010-05,"Kelowna, British Columbia",House only,"Index, 201612=100",
353,2010-06,"Kelowna, British Columbia",House only,"Index, 201612=100",
354,2010-07,"Kelowna, British Columbia",House only,"Index, 201612=100",
355,2010-08,"Kelowna, British Columbia",House only,"Index, 201612=100",
356,2010-09,"Kelowna, British Columbia",House only,"Index, 201612=100",
357,2010-10,"Kelowna, British Columbia",House only,"Index, 201612=100",
358,2010-11,"Kelowna, British Columbia",House only,"Index, 201612=100",
359,2010-12,"Kelowna, British Columbia",House only,"Index, 201612=100",
360,2011-01,"Kelowna, British Columbia",House only,"Index, 201612=100",
361,2011-02,"Kelowna, British Columbia",House only,"Index, 201612=100",
362,2011-03,"Kelowna, British Columbia",House only,"Index, 201612=100",
363,2011-04,"Kelowna, British Columbia",House only,"Index, 201612=100",
364,2011-05,"Kelowna, British Columbia",House only,"Index, 201612=100",
365,2011-06,"Kelowna, British Columbia",House only,"Index, 201612=100",
366,2011-07,"Kelowna, British Columbia",House only,"Index, 201612=100",
367,2011-08,"Kelowna, British Columbia",House only,"Index, 201612=100",
368,2011-09,"Kelowna, British Columbia",House only,"Index, 201612=100",
369,2011-10,"Kelowna, British Columbia",House only,"Index, 201612=100",
370,2011-11,"Kelowna, British Columbia",House only,"Index, 201612=100",
371,2011-12,"Kelowna, British Columbia",House only,"Index, 201612=100",
372,2012-01,"Kelowna, British Columbia",House only,"Index, 201612=100",
373,2012-02,"Kelowna, British Columbia",House only,"Index, 201612=100",
374,2012-03,"Kelowna, British Columbia",House only,"Index, 201612=100",
375,2012-04,"Kelowna, British Columbia",House only,"Index, 201612=100",
376,2012-05,"Kelowna, British Columbia",House only,"Index, 201612=100",
377,2012-06,"Kelowna, British Columbia",House only,"Index, 201612=100",
378,2012-07,"Kelowna, British Columbia",House only,"Index, 201612=100",
379,2012-08,"Kelowna, British Columbia",House only,"Index, 201612=100",
380,2012-09,"Kelowna, British Columbia",House only,"Index, 201612=100",
381,2012-10,"Kelowna, British Columbia",House only,"Index, 201612=100",
382,2012-11,"Kelowna, British Columbia",House only,"Index, 201612=100",
383,2012-12,"Kelowna, British Columbia",House only,"Index, 201612=100",
384,2013-01,"Kelowna, British Columbia",House only,"Index, 201612=100",
385,2013-02,"Kelowna, British Columbia",House only,"Index, 201612=100",
386,2013-03,"Kelowna, British Columbia",House only,"Index, 201612=100",
387,2013-04,"Kelowna, British Columbia",House only,"Index, 201612=100",
388,2013-05,"Kelowna, British Columbia",House only,"Index, 201612=100",
389,2013-06,"Kelowna, British Columbia",House only,"Index, 201612=100",
390,2013-07,"Kelowna, British Columbia",House only,"Index, 201612=100",
391,2013-08,"Kelowna, British Columbia",House only,"Index, 201612=100",
392,2013-09,"Kelowna, British Columbia",House only,"Index, 201612=100",
393,2013-10,"Kelowna, British Columbia",House only,"Index, 201612=100",
394,2013-11,"Kelowna, British Columbia",House only,"Index, 201612=100",
395,2013-12,"Kelowna, British Columbia",House only,"Index, 201612=100",
396,2014-01,"Kelowna, British Columbia",House only,"Index, 201612=100",
397,2014-02,"Kelowna, British Columbia",House only,"Index, 201612=100",
398,2014-03,"Kelowna, British Columbia",House only,"Index, 201612=100",
399,2014-04,"Kelowna, British Columbia",House only,"Index, 201612=100",
400,2014-05,"Kelowna, British Columbia",House only,"Index, 201612=100",
401,2014-06,"Kelowna, British Columbia",House only,"Index, 201612=100",
402,2014-07,"Kelowna, British Columbia",House only,"Index, 201612=100",
403,2014-08,"Kelowna, British Columbia",House only,"Index, 201612=100",
