,REF_DATE,GEO,New housing price indexes,UOM,HPI_halifax_ns
346,2009-11,"Halifax, Nova Scotia",House only,"Index, 201612=100",90.5
347,2009-12,"Halifax, Nova Scotia",House only,"Index, 201612=100",90.5
348,2010-01,"Halifax, Nova Scotia",House only,"Index, 201612=100",90.6
349,2010-02,"Halifax, Nova Scotia",House only,"Index, 201612=100",90.7
350,2010-03,"Halifax, Nova Scotia",House only,"Index, 201612=100",90.8
351,2010-04,"Halifax, Nova Scotia",House only,"Index, 201612=100",90.8
352,2010-05,"Halifax, Nova Scotia",House only,"Index, 201612=100",90.9
353,2010-06,"Halifax, Nova Scotia",House only,"Index, 201612=100",90.9
354,2010-07,"Halifax, Nova Scotia",House only,"Index, 201612=100",90.9
355,2010-08,"Halifax, Nova Scotia",House only,"Index, 201612=100",90.9
356,2010-09,"Halifax, Nova Scotia",House only,"Index, 201612=100",90.9
357,2010-10,"Halifax, Nova Scotia",House only,"Index, 201612=100",90.9
358,2010-11,"Halifax, Nova Scotia",House only,"Index, 201612=100",91.8
359,2010-12,"Halifax, Nova Scotia",House only,"Index, 201612=100",92.1
360,2011-01,"Halifax, Nova Scotia",House only,"Index, 201612=100",92.1
361,2011-02,"Halifax, Nova Scotia",House only,"Index, 201612=100",92.1
362,2011-03,"Halifax, Nova Scotia",House only,"Index, 201612=100",92.1
363,2011-04,"Halifax, Nova Scotia",House only,"Index, 201612=100",92.1
364,2011-05,"Halifax, Nova Scotia",House only,"Index, 201612=100",92.1
365,2011-06,"Halifax, Nova Scotia",House only,"Index, 201612=100",92.1
